Corporate Name,Login Code,System Role,Job Role,User Full Name,Employee ID,Course/Training Name,Node Event Name,Progress,Node Status,Marks Obtained,Aggregate Marks Obtained,Max Score,Last Access Date,Completion Date,Attempts,Start Date,Minimum Passing Marks,Passed Status,Grade Text
AGENCY,AAA001,Learner,Agency Development Manager,REDACTED,10001,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/11/2026 00:00:00,07/11/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA002,Learner,Senior Agency Development Manager,REDACTED,10002,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/20/2026 00:00:00,07/20/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA003,Learner,Manager - Training,REDACTED,10003,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/09/2026 00:00:00,07/09/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA004,Learner,Deputy Manager - Training,REDACTED,10004,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/27/2026 00:00:00,07/27/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA005,Learner,Associate Partner - Agency Sales,REDACTED,10005,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/09/2026 00:00:00,07/09/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA006,Learner,Associate Agency Development Manager,REDACTED,10006,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/07/2026 00:00:00,07/07/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA007,Learner,Agency Development Manager,REDACTED,10007,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/02/2026 00:00:00,07/02/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA008,Learner,Senior Agency Development Manager,REDACTED,10008,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/07/2026 00:00:00,07/07/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA009,Learner,Manager - Training,REDACTED,10009,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/01/2026 00:00:00,07/01/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA010,Learner,Deputy Manager - Training,REDACTED,10010,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/17/2026 00:00:00,07/17/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA011,Learner,Associate Partner - Agency Sales,REDACTED,10011,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/30/2026 00:00:00,07/30/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA012,Learner,Associate Agency Development Manager,REDACTED,10012,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/25/2026 00:00:00,07/25/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA013,Learner,Agency Development Manager,REDACTED,10013,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/12/2026 00:00:00,07/12/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA014,Learner,Senior Agency Development Manager,REDACTED,10014,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/06/2026 00:00:00,07/06/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA015,Learner,Manager - Training,REDACTED,10015,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/12/2026 00:00:00,07/12/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA016,Learner,Deputy Manager - Training,REDACTED,10016,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/01/2026 00:00:00,07/01/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA017,Learner,Associate Partner - Agency Sales,REDACTED,10017,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/21/2026 00:00:00,07/21/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA018,Learner,Associate Agency Development Manager,REDACTED,10018,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/07/2026 00:00:00,07/07/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA019,Learner,Agency Development Manager,REDACTED,10019,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/11/2026 00:00:00,07/11/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA020,Learner,Senior Agency Development Manager,REDACTED,10020,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/15/2026 00:00:00,07/15/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA021,Learner,Manager - Training,REDACTED,10021,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/30/2026 00:00:00,07/30/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA022,Learner,Deputy Manager - Training,REDACTED,10022,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/01/2026 00:00:00,07/01/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA023,Learner,Associate Partner - Agency Sales,REDACTED,10023,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/20/2026 00:00:00,07/20/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA024,Learner,Associate Agency Development Manager,REDACTED,10024,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/05/2026 00:00:00,07/05/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA025,Learner,Agency Development Manager,REDACTED,10025,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/26/2026 00:00:00,07/26/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA026,Learner,Senior Agency Development Manager,REDACTED,10026,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/28/2026 00:00:00,07/28/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA027,Learner,Manager - Training,REDACTED,10027,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/12/2026 00:00:00,07/12/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA028,Learner,Deputy Manager - Training,REDACTED,10028,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/19/2026 00:00:00,07/19/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA029,Learner,Associate Partner - Agency Sales,REDACTED,10029,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/09/2026 00:00:00,07/09/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA030,Learner,Associate Agency Development Manager,REDACTED,10030,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/07/2026 00:00:00,07/07/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA031,Learner,Agency Development Manager,REDACTED,10031,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/01/2026 00:00:00,07/01/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA032,Learner,Senior Agency Development Manager,REDACTED,10032,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,85.71,14,07/04/2026 00:00:00,07/04/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA033,Learner,Manager - Training,REDACTED,10033,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/04/2026 00:00:00,07/04/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA034,Learner,Deputy Manager - Training,REDACTED,10034,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/05/2026 00:00:00,07/05/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA035,Learner,Associate Partner - Agency Sales,REDACTED,10035,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,92.86,14,07/16/2026 00:00:00,07/16/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA036,Learner,Associate Agency Development Manager,REDACTED,10036,Sample Course_Jun'26,Sample_Assessment_Jun'26,100,Completed and Passed,12,78.57,14,07/25/2026 00:00:00,07/25/2026 00:00:00,1,06/18/2026 13:40:00,80,Pass,B
AGENCY,AAA037,Learner,Agency Development Manager,REDACTED,10037,Sample Course_Jun'26,Sample_Assessment_Jun'26,0,Submitted not finalized,0,0.0,14,07/20/2026 00:00:00,,5,06/18/2026 13:40:00,80,,J
AGENCY,AAA038,Learner,Senior Agency Development Manager,REDACTED,10038,Sample Course_Jun'26,Sample_Assessment_Jun'26,0,Submitted not finalized,0,0.0,14,07/10/2026 00:00:00,,3,06/18/2026 13:40:00,80,,J
AGENCY,AAA039,Learner,Manager - Training,REDACTED,10039,Sample Course_Jun'26,Sample_Assessment_Jun'26,0,Submitted not finalized,0,0.0,14,07/07/2026 00:00:00,,5,06/18/2026 13:40:00,80,,J
AGENCY,AAA040,Learner,Deputy Manager - Training,REDACTED,10040,Sample Course_Jun'26,Sample_Assessment_Jun'26,0,Submitted not finalized,0,0.0,14,07/20/2026 00:00:00,,4,06/18/2026 13:40:00,80,,J
