Date,Members and admins views on posts,Non-members views on posts,Members and admins messages posted,Non-members messages posted,Members and admins reactions on messages,Non-members reactions on messages,People reached,Members reached,Total answers,Total questions
2026-01-01,180,56,2,0,8,2,229,218,2,3
2026-01-02,86,3,1,0,4,2,348,174,2,2
2026-01-03,667,52,1,1,4,0,382,131,0,2
2026-01-04,725,56,2,0,6,3,106,266,0,0
2026-01-05,377,60,1,0,7,3,248,305,5,0
2026-01-06,537,12,3,1,3,0,234,190,5,0
2026-01-07,344,14,0,0,1,0,46,373,0,1
2026-01-08,320,43,3,0,3,2,64,247,1,1
2026-01-09,34,57,1,0,4,3,354,284,1,0
2026-01-10,765,42,0,1,3,3,274,38,0,1
2026-01-11,92,47,2,0,5,2,190,260,0,3
2026-01-12,177,21,3,0,0,0,31,113,3,0
2026-01-13,635,33,1,0,1,1,347,115,2,1
2026-01-14,363,43,2,1,2,2,302,371,1,3
2026-01-15,449,12,1,1,6,1,160,330,2,0
2026-01-16,525,47,3,1,7,3,39,18,3,2
2026-01-17,786,17,1,1,5,0,213,120,0,0
2026-01-18,43,41,1,0,0,1,335,266,1,3
2026-01-19,625,38,1,0,9,0,379,310,5,3
2026-01-20,900,9,1,1,2,0,133,370,3,3
2026-01-21,349,30,2,1,7,1,173,114,4,3
2026-01-22,177,57,3,0,4,0,130,185,2,0
2026-01-23,129,35,3,1,3,3,186,265,1,3
2026-01-24,49,31,2,1,9,3,185,375,1,0
2026-01-25,128,55,3,1,8,0,336,120,1,3
2026-01-26,670,33,2,1,3,0,272,42,1,0
2026-01-27,258,9,1,1,9,1,228,42,0,0
2026-01-28,678,15,0,1,9,3,214,272,2,0
2026-01-29,774,10,3,1,3,3,87,160,2,1
2026-01-30,579,42,2,0,2,3,200,57,4,1
2026-01-31,111,1,3,0,3,0,273,191,1,2
2026-02-01,163,25,0,0,0,2,221,104,2,0
2026-02-02,643,55,1,1,2,1,50,323,4,1
2026-02-03,553,4,3,0,10,0,335,190,4,1
2026-02-04,502,12,3,1,7,1,100,34,5,2
2026-02-05,644,32,2,1,3,2,197,347,1,2
2026-02-06,669,44,3,0,6,1,292,377,1,2
2026-02-07,625,51,3,0,10,0,103,294,4,3
2026-02-08,484,29,3,1,4,1,54,273,1,0
2026-02-09,49,51,0,0,0,1,167,24,4,1
2026-02-10,335,11,0,1,8,2,78,52,1,0
2026-02-11,708,28,3,1,6,3,141,237,1,3
2026-02-12,111,35,0,1,8,2,122,134,0,2
2026-02-13,460,36,0,0,3,1,115,177,0,1
2026-02-14,164,3,1,1,7,2,105,142,1,0
2026-02-15,207,12,2,1,8,2,339,269,4,1
2026-02-16,602,39,0,1,7,0,94,39,1,2
2026-02-17,768,2,1,1,10,0,269,116,4,2
2026-02-18,361,46,0,0,4,0,316,264,1,3
2026-02-19,870,6,0,0,0,2,350,76,5,2
2026-02-20,432,57,1,1,9,2,389,257,2,2
2026-02-21,803,50,3,0,1,0,45,339,4,2
2026-02-22,828,3,0,0,0,3,155,130,1,3
2026-02-23,257,60,3,0,10,3,13,197,4,3
2026-02-24,629,23,2,0,6,2,288,30,1,2
2026-02-25,125,33,0,1,4,2,342,227,3,3
2026-02-26,373,43,0,0,8,3,301,142,2,2
2026-02-27,178,30,0,0,10,2,207,196,5,2
2026-02-28,333,30,3,1,10,1,74,32,5,0
2026-03-01,458,34,3,0,3,1,300,379,2,3
