Course Code,Course Name,Learner ID,Department,Assigned On,Started,Completion Status,Progress %,Score,Assessment Passed,Completed On,Due Date
cyber-aware-2026q1,Cyber Awareness 2026,L00001,Manufacturing,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00002,Marketing,12/01/2026,1,Completed,100%,81.4,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00003,Operations,12/01/2026,1,In Progress,70%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00004,HR,12/01/2026,1,Completed,100%,73.1,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00005,Finance,12/01/2026,1,Completed,100%,78.6,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00006,Operations,12/01/2026,1,Completed,100%,90.8,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00007,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00008,HR,12/01/2026,1,Completed,100%,75.1,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00009,Marketing,12/01/2026,1,Completed,100%,80.7,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00010,Manufacturing,12/01/2026,1,Completed,100%,79.2,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00011,HR,12/01/2026,1,Completed,100%,77.8,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00012,Finance,12/01/2026,1,Completed,100%,81.4,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00013,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00014,Technology,12/01/2026,1,Completed,100%,96.5,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00015,Finance,12/01/2026,1,Completed,100%,95.7,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00016,Technology,12/01/2026,1,Completed,100%,83.8,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00017,Manufacturing,12/01/2026,1,Completed,100%,85.0,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00018,Marketing,12/01/2026,1,Completed,100%,89.9,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00019,Finance,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00020,Technology,12/01/2026,1,Completed,100%,70.0,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00021,Operations,12/01/2026,1,In Progress,10%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00022,Sales,12/01/2026,1,Completed,100%,79.1,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00023,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00024,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00025,Marketing,12/01/2026,1,Completed,100%,78.3,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00026,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00027,Marketing,12/01/2026,1,Completed,100%,87.4,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00028,Technology,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00029,Sales,12/01/2026,1,Completed,100%,74.7,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00030,Marketing,12/01/2026,1,Completed,100%,71.5,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00031,Legal,12/01/2026,1,Completed,100%,85.7,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00032,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00033,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00034,Finance,12/01/2026,1,Completed,100%,97.8,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00035,Technology,12/01/2026,1,Completed,100%,80.3,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00036,Marketing,12/01/2026,1,Completed,100%,87.2,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00037,Operations,12/01/2026,1,In Progress,25%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00038,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00039,Manufacturing,12/01/2026,1,In Progress,55%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00040,Marketing,12/01/2026,1,Completed,100%,82.3,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00041,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00042,Marketing,12/01/2026,1,Completed,100%,72.1,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00043,Finance,12/01/2026,1,Completed,100%,71.1,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00044,Sales,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00045,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00046,HR,12/01/2026,1,In Progress,70%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00047,Technology,12/01/2026,1,Completed,100%,93.1,Yes,28/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00048,Technology,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00049,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00050,Technology,12/01/2026,1,Completed,100%,79.0,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00051,Manufacturing,12/01/2026,1,In Progress,10%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00052,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00053,Technology,12/01/2026,1,In Progress,70%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00054,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00055,Marketing,12/01/2026,1,Completed,100%,65.1,No,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00056,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00057,Operations,12/01/2026,1,Completed,100%,83.5,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00058,Manufacturing,12/01/2026,1,Completed,100%,80.0,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00059,Sales,12/01/2026,1,Completed,100%,94.2,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00060,Marketing,12/01/2026,1,Completed,100%,76.5,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00061,Marketing,12/01/2026,1,Completed,100%,93.1,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00062,Operations,12/01/2026,1,In Progress,70%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00063,Legal,12/01/2026,1,Completed,100%,89.8,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00064,Operations,12/01/2026,1,In Progress,25%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00065,Technology,12/01/2026,1,Completed,100%,89.5,Yes,27/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00066,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00067,Operations,12/01/2026,1,In Progress,10%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00068,Technology,12/01/2026,1,Completed,100%,78.8,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00069,Technology,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00070,Sales,12/01/2026,1,Completed,100%,76.4,Yes,26/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00071,Sales,12/01/2026,1,Completed,100%,83.7,Yes,16/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00072,Marketing,12/01/2026,1,In Progress,85%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00073,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00074,Manufacturing,12/01/2026,1,Completed,100%,89.7,Yes,23/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00075,Marketing,12/01/2026,1,Completed,100%,81.0,Yes,03/02/2026,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00076,Sales,12/01/2026,1,In Progress,25%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00077,Manufacturing,12/01/2026,0,Not Started,0%,,,,28/02/2026
cyber-aware-2026q1,Cyber Awareness 2026,L00078,Operations,12/01/2026,0,Not Started,0%,,,,28/02/2026
