Community,Campaign ID,Post ID,Post Title,Published On,Audience Size,Impressions,Unique Viewers,Reactions,Comments,Shares
Internal Comms,cyber-aware-2026q1,P0001,Cyber Awareness 2026 update 1,2026-01-14,1200,1413,697,64,10,11
Internal Comms,cyber-aware-2026q1,P0002,Cyber Awareness 2026 update 2,2026-01-16,1200,1628,765,113,34,5
Internal Comms,cyber-aware-2026q1,P0003,Cyber Awareness 2026 update 3,2026-01-22,1200,1415,502,35,7,2
Internal Comms,cyber-aware-2026q1,P0004,Cyber Awareness 2026 update 4,2026-01-29,1200,1615,906,176,13,9
Internal Comms,wellbeing-2026q2,P0005,Wellbeing Month update 1,2026-05-04,1200,1072,572,102,8,7
Internal Comms,wellbeing-2026q2,P0006,Wellbeing Month update 2,2026-05-08,1200,1401,628,57,23,9
Internal Comms,wellbeing-2026q2,P0007,Wellbeing Month update 3,2026-05-14,1200,1027,427,57,5,1
Internal Comms,wellbeing-2026q2,P0008,Wellbeing Month update 4,2026-05-10,1200,1543,916,106,43,14
Internal Comms,wellbeing-2026q2,P0009,Wellbeing Month update 5,2026-05-28,1200,806,394,48,17,6
Internal Comms,wellbeing-2026q2,P0010,Wellbeing Month update 6,2026-05-29,1200,1276,640,57,17,1
Internal Comms,townhall-q1-2026,P0011,Q1 Town Hall update 1,2026-04-15,1200,1406,550,107,17,9
Internal Comms,townhall-q1-2026,P0012,Q1 Town Hall update 2,2026-04-19,1200,1387,660,87,26,11
Internal Comms,townhall-q1-2026,P0013,Q1 Town Hall update 3,2026-04-19,1200,1171,508,83,12,7
